smiles,denticities,coordinating_atom_indices,coordinating_atom_symbols
[C]#[O+],1,[0],['C']
CN(C)c1ccc(P(c2ccccc2P(c2ccccc2)c2ccccc2)c2ccccc2P(c2ccccc2)c2ccccc2)cc1,3,"[7, 33, 14]","['P', 'P', 'P']"
CC(C)(C)c1cc(/N=C/c2ccccc2[O-])c2ncc3ccccc3c2c1,3,"[15, 7, 17]","['O', 'N', 'N']"
CC(C)(C)c1ccc([O-])c(/C=N/c2cc(C(C)(C)C)cc3c2ncc2ccccc23)c1,3,"[8, 11, 22]","['O', 'N', 'N']"
CC1(C)[C@H]2CC[C@](C)(C2)[C@@]12OP(c1ccccc1)c1ccccc12,1,[11],['P']
c1ccc(-c2cc(-c3ccccc3)n(-c3ccccn3)n2)cc1,2,"[19, 20]","['N', 'N']"
Oc1ccccc1CN(Cc1[c]cccc1)Cc1ccccc1P(c1ccccc1)c1ccccc1,4,"[23, 8, 11, 0]","['P', 'N', 'C', 'O']"
[O-]c1ccccc1CN(Cc1[c]cccc1)Cc1ccccc1P(c1ccccc1)c1ccccc1,4,"[23, 8, 11, 0]","['P', 'N', 'C', 'O']"
CN1CCCN(C)CCN(C)CCN(C)CC1,4,"[1, 13, 5, 9]","['N', 'N', 'N', 'N']"
[O-]c1ccccc1/C=N/N(c1ccccc1)c1ccccn1,3,"[21, 8, 0]","['N', 'N', 'O']"
COc1cccc(/C=N/N(c2ccccc2)c2ccccn2)c1[O-],3,"[21, 8, 23]","['N', 'N', 'O']"
[O-]c1ccc(Br)cc1/C=N/N(c1ccccc1)c1ccccn1,3,"[22, 9, 0]","['N', 'N', 'O']"
CCO/C([S-])=N/N=C1\CCCC\C1=N/N=C(\[S-])OCC,4,"[4, 6, 13, 16]","['S', 'N', 'N', 'S']"
F[C](F)F,1,[1],['C']
Cc1ccc(/N=C/c2cc(F)ccc2[O-])c(/N=C/c2cc(F)ccc2[O-])c1,4,"[16, 5, 25, 14]","['N', 'N', 'O', 'O']"
CC(C)c1cccc(C(C)C)c1/N=C(/N=C(\[O-])c1ccccc1)SCc1ccccc1,2,"[16, 12]","['O', 'N']"
CC(C)c1cccc(C(C)C)c1/N=C(/N=C(\[O-])c1ccc(Cl)cc1)SCc1ccccc1,2,"[16, 12]","['O', 'N']"
C=C/C=C\C=C\Sc1ccccc1P(c1ccccc1)c1ccccc1,1,[13],['P']
CS/C([S-])=N/N=C/c1ccc2ccccc2n1,3,"[3, 5, 16]","['S', 'N', 'N']"
CS/C([S-])=N/N=C/c1cnc2ccccc2n1,3,"[3, 5, 16]","['S', 'N', 'N']"
Cc1ccc(-c2c3nc(c4ccc(c(-c5ccc(C)cc5)c5ccc([n-]5)c(-c5ccc(C)cc5)c5ccc2[n-]5)n4C)C=C3)cc1,4,"[7, 39, 38, 25]","['N', 'N', 'N', 'N']"
Cc1ccc(-c2c3nc(c4ccc([n-]4)c(-c4ccc(C)cc4)c4ccc(c(-c5ccc(C)cc5)c5ccc2[n-]5)n4C)C=C3)cc1,4,"[13, 7, 39, 38]","['N', 'N', 'N', 'N']"
Cc1[c]ccc(COc2c(F)c(F)c(F)c(F)c2F)c1,1,[2],['C']
c1cc2nc(c1)CNCCCN1CCN(CCCNC2)CC1,5,"[3, 18, 7, 14, 11]","['N', 'N', 'N', 'N', 'N']"
Cc1nc2ccccc2n1C,1,[2],['N']
N/C([S-])=N/N=C/c1cc(Cl)cc(Cl)c1[O-],3,"[2, 4, 14]","['S', 'N', 'O']"
Brc1c[c]c(-c2ccccn2)cc1,2,"[10, 3]","['N', 'C']"
CP(c1ccccc1P(C)C(C)(C)C)C(C)(C)C,2,"[8, 1]","['P', 'P']"
Cc1cccc(/C=N/C(C)(C)C(C)(C)/N=C/c2cccc(C)c2[O-])c1[O-],4,"[25, 7, 14, 23]","['O', 'N', 'N', 'O']"
c1ccc(P(c2ccccc2)c2ccccc2CC2C3=C(C4=C2c2ccccc2Cc2ccccc24)c2ccccc2Cc2ccccc23)cc1,1,[4],['P']
c1ccc(P(c2ccccc2)c2ccccc2CC2(Cc3ccccc3P(c3ccccc3)c3ccccc3)C3=C(C4=C2c2ccccc2Cc2ccccc24)c2ccccc2Cc2ccccc23)cc1,2,"[4, 26]","['P', 'P']"
c1ccc(COCCN(Cc2ccccn2)Cc2nccc3ccccc23)nc1,5,"[5, 8, 27, 15, 18]","['O', 'N', 'N', 'N', 'N']"
c1ccc2c(COCCN(Cc3nccc4ccccc34)Cc3nccc4ccccc34)nccc2c1,5,"[6, 9, 32, 12, 23]","['O', 'N', 'N', 'N', 'N']"
Cc1cc(C)c(-c2[c]n(-c3c(C)cc(C)cc3C)n[n+]2CCCCCCN=[N+]=[N-])c(C)c1,1,[7],['C']
[c]1sccc1/C=N/[C@@H]1CCCC[C@H]1/N=C/c1ccsc1,3,"[6, 0, 13]","['N', 'C', 'N']"
CC(C)(C)N(C(=O)[N-]c1ccccc1)C(=O)[N-]c1ccccc1,3,"[7, 4, 16]","['N', 'N', 'N']"
CSCCN1CCN(CCSC)CCN(CCSC)CC1,6,"[1, 4, 14, 7, 17, 10]","['S', 'N', 'N', 'N', 'S', 'S']"
CN(C)C,1,[1],['N']
